Case,TCGA-CS-4942,TCGA-CS-4943,TCGA-CS-5393,TCGA-CS-5394,TCGA-CS-6290,TCGA-CS-6665,TCGA-CS-6666,TCGA-DB-5273,TCGA-DB-5277,TCGA-DB-A4XB,TCGA-DB-A4XD,TCGA-DB-A4XF,TCGA-DB-A64X,TCGA-DB-A75L,TCGA-DB-A75O,TCGA-DH-5142,TCGA-DH-A66B,TCGA-DH-A66D,TCGA-DH-A7UT,TCGA-DH-A7UU,TCGA-DH-A7UV,TCGA-DU-7010,TCGA-DU-7298,TCGA-DU-7299,TCGA-DU-A5TP,TCGA-DU-A5TW,TCGA-DU-A6S7,TCGA-E1-5302,TCGA-E1-5303,TCGA-E1-5304,TCGA-E1-5305,TCGA-E1-5307,TCGA-FG-7636,TCGA-FG-8185,TCGA-FG-A6J3,TCGA-FG-A87N,TCGA-HT-7477,TCGA-HT-7479,TCGA-HT-7601,TCGA-HT-7686,TCGA-HT-7855,TCGA-HT-8106,TCGA-HT-8563,TCGA-HT-A5R7,TCGA-HT-A618,TCGA-HT-A74O,TCGA-HW-8319,TCGA-HW-8320,TCGA-HW-8321,TCGA-P5-A5EU,TCGA-P5-A5EZ,TCGA-P5-A72W,TCGA-P5-A72X,TCGA-S9-A6TS,TCGA-S9-A6U1,TCGA-S9-A6U6,TCGA-S9-A6U9,TCGA-S9-A6WG,TCGA-S9-A6WL,TCGA-S9-A6WN,TCGA-S9-A7IS,TCGA-S9-A7IZ,TCGA-S9-A7QW,TCGA-S9-A7QX,TCGA-S9-A7R4,TCGA-S9-A7R8,TCGA-S9-A89Z,TCGA-TM-A84F,TCGA-TM-A84I,TCGA-VV-A86M,TCGA-WY-A858
ADCY2,303.0168466,183.2495832,160.3632752,208.4577775,316.6665329,47.10005079,371.3847641,289.1491717,115.8269526,264.8817822,243.6142483,381.2439397,177.0381439,232.1410842,297.5155196,237.7879048,436.1809132,142.9952901,114.9640908,273.8562976,268.6841572,163.1088144,132.9024533,147.7512431,61.29384653,203.4426031,219.2558044,188.7072345,427.7179291,37.64305007,238.9408747,224.877743,287.8330512,287.2934404,135.0218282,41.71787241,43.58205748,460.3270916,259.2203339,406.4918156,358.4713455,86.04038367,154.6090924,187.4791458,178.7284587,179.5289225,280.839535,308.4475232,169.8965171,175.0601068,144.9463422,287.1785477,477.3262701,467.6460954,273.510859,204.3723288,471.2202996,190.2731939,158.6660284,222.4450106,16.59121048,418.1300862,161.7188991,185.4367948,186.3725827,60.1218005,231.5447369,223.3492861,47.10613614,112.6327314,187.2037609
C6orf89,241.2908458,204.7616503,235.2997891,332.2046877,223.4981453,206.2607672,246.6614365,275.169085,207.2230893,224.1044164,264.6049926,274.2130466,197.3177088,187.4428613,241.5314161,223.3601476,213.5292373,208.4860251,187.5060096,205.8639108,263.5918101,200.9470547,179.7993943,242.2739635,137.312403,253.4310727,232.4198963,240.1219736,228.5798658,152.6496203,244.251704,275.3724314,278.9617255,360.0840518,237.257105,147.6580766,192.1986895,250.0418766,239.9484383,247.4668162,307.8600541,222.9783829,303.5146993,187.8857157,182.8251025,183.9630564,220.0059642,305.8244125,244.7324913,175.8916107,215.8014897,229.5489779,225.9919685,220.9558217,226.1830684,193.1609717,183.1067889,156.6651579,202.9871888,302.752461,149.5555355,265.9480774,212.9254131,197.1540944,188.2637069,148.1836875,205.182404,185.8749393,193.3896267,172.4265297,157.2359195
RPS3A,201.4900985,192.6701337,301.9171855,211.6064591,166.7999748,231.0711154,189.6437633,201.1314372,210.2037926,154.212584,235.8682967,183.5824553,249.801122,227.0204769,97.7681554,273.4136548,256.4367857,247.8749311,356.134155,168.5658897,260.5030037,122.9194076,291.8671776,139.5363329,214.3066992,281.9140322,125.3810886,234.6924426,241.3524075,331.1009363,224.3127927,377.5511029,326.4410477,223.8152073,189.7494275,190.7080417,228.0611901,239.8735032,155.1634866,300.0329707,311.1814807,187.0435613,112.5226164,100.3209115,233.5085459,218.5813374,147.6478241,255.5801772,148.1900464,179.9717704,206.5280134,347.8922713,90.4266306,238.2261915,217.8736077,198.9441118,117.1107958,186.4076533,107.7968947,96.13001352,131.4225157,121.0865453,316.7777851,419.3100627,235.7599833,322.2276845,125.5406619,222.1518494,316.5234584,610.3724576,186.1879017
CSNK1A1,242.1573049,283.1940583,234.0529942,299.0487086,226.7005208,206.1707457,173.3627062,249.1865773,145.2682862,244.2364576,258.8682268,252.3627987,218.8699396,209.332952,154.6662858,242.4942841,278.1426888,223.4160233,186.4454566,127.0801843,208.2229187,199.2542053,215.8926116,223.2522706,334.8985677,219.9392976,149.9601988,181.0810248,217.6203693,214.5778354,175.1177121,212.037379,232.0974828,269.941609,182.967082,240.5594858,230.6343757,205.0343366,238.465986,289.8563204,301.6627549,223.4949348,294.7358114,163.8981448,229.137131,192.2703766,219.7577902,238.1248867,235.1674997,282.9812915,169.5065624,199.5886502,154.3171738,181.4187578,240.953075,214.0804805,185.9363118,213.5649155,196.9052619,271.5852077,270.5540777,202.3417002,231.7100769,207.8265333,243.6639095,244.5372885,212.5628933,211.2388411,175.9704936,267.6871454,188.3465977
SUN2,179.809711,126.9247914,323.2201347,90.30641186,267.0412316,391.9782848,140.8005867,159.0775076,154.9784404,205.0844831,216.4637498,216.3578272,190.7607435,178.7317039,329.6696599,181.0798866,206.4696607,174.9294651,321.2267689,248.1089277,237.942219,218.3300672,189.3454572,274.9578818,196.1890891,179.0713564,201.4888773,254.3382243,352.4086149,197.8752942,261.4187403,332.6199025,240.4483549,253.108987,320.364292,184.423717,122.9860884,303.9467337,243.1224092,343.6104137,374.4101589,241.7636649,177.5907703,286.8852764,153.1744098,245.8272109,147.0894338,215.789829,215.3639168,208.2428257,325.4410079,168.0421918,216.267872,177.8597414,172.5434864,217.4000445,324.504315,201.2050411,110.1271313,290.5669675,251.382012,180.5350641,164.914736,178.8193854,133.5423689,177.2183834,216.3013771,195.3455779,237.8270381,136.9296066,203.7432107
IPO7,280.3569792,227.2121593,267.5874084,407.9816495,203.3162724,165.6243705,473.6678523,283.7617217,180.7624642,214.5516766,344.2059186,239.7724094,171.3388384,174.4475271,194.1652732,149.5625744,290.8636782,162.6076004,97.05587505,127.701433,251.0696324,147.7321346,285.7607247,244.1629507,426.4401715,284.5056598,192.9966583,151.7366962,302.2926094,166.6722793,346.9976805,304.2783746,294.6462274,396.8645797,55.13391103,277.074383,143.8957531,222.1413687,148.7775321,155.8571716,338.4415062,164.4185761,112.0193649,126.1380444,143.0826887,81.57734731,126.2738707,307.8881848,254.7184788,134.2585144,190.9756238,176.5309504,162.2009027,197.9362613,267.1565655,201.699977,169.3783658,169.7144302,253.3203675,210.259517,279.134584,147.8693409,229.2461172,370.3262897,282.892585,249.4356962,106.0523166,197.6588088,160.4546364,318.4486538,170.219865
DDX6,221.2303611,281.8585779,310.1073201,280.46012,222.0697484,244.7546183,223.3380852,224.4088546,276.7302318,255.3290424,234.599332,197.4596328,180.1921285,214.7595749,171.4778395,265.1967792,197.7827175,223.7651407,219.1105306,219.5314191,228.4462365,214.5525143,277.4268598,254.7207989,206.0573084,186.0986489,185.2869175,229.9882322,253.6919886,417.8752234,275.6275454,359.0464649,231.9555384,197.2514949,103.641753,205.7057902,103.3123683,196.4495679,241.5259193,185.4169698,313.0649768,220.3956184,156.5475295,128.501225,193.7911118,154.6603863,231.0186726,199.9161227,237.9797384,186.0630053,203.074608,199.4124174,156.8538932,193.2137177,247.5836449,216.8154661,177.3167433,168.4587461,161.7186415,251.7273634,177.8108762,207.9592321,277.7203153,220.0911383,241.9425002,291.7699814,180.9184455,169.5462456,308.6414029,259.1967909,175.4896352
LARP1,198.2691173,252.0268275,223.99267,286.567798,217.3929008,209.9517142,235.4526413,211.5198942,179.3178237,282.7896022,252.0211237,242.4721537,191.5907395,147.6816364,257.494235,189.1424554,188.2935459,242.9461831,213.5350468,149.8363481,241.8658299,210.9317082,217.9988105,208.1842803,261.0975832,218.9674358,196.4717932,187.8368507,171.0492853,170.0377158,120.3555774,219.3344133,199.1434701,228.8231233,94.29649625,268.7370767,231.7487441,218.9950108,258.4981168,206.2454427,286.5745507,257.6562554,244.988776,247.193973,174.8316574,226.354425,220.3627146,288.9670382,234.8980587,286.8680777,183.9963689,254.8977691,291.7974846,200.8108566,234.4287681,213.4332735,227.7241679,170.3299631,291.8392309,278.7796911,159.2086071,244.8933897,200.3616406,278.3293366,255.3015887,226.7224049,184.6086928,204.2991434,208.3676015,242.3666107,201.5210232
TNFRSF21,237.7496479,162.1345545,204.5814083,95.04839874,255.9135578,170.1975456,229.3387515,269.008749,262.8324585,106.4203695,334.4243342,611.6303332,218.2889397,203.6819245,98.91069039,193.8102581,235.0288531,252.536707,98.02552349,335.0379372,394.6781219,151.3686159,168.2986592,207.4667593,63.86623396,239.9496327,284.40886,121.501262,216.6191309,49.04814473,175.7233342,341.8722242,261.4083315,497.7430474,102.5165709,185.5364021,259.0204557,158.464038,180.0040908,79.41350529,396.1007116,163.2649447,216.1731447,162.6530275,126.5712256,246.8689667,172.992561,372.3473918,415.5383593,105.1752951,136.2766119,198.5899721,180.7537839,264.531003,232.2398318,322.7074344,209.9348503,119.314688,346.1105163,205.0826714,114.8145428,357.2440131,157.1569099,309.8242338,365.738314,188.7392201,237.0439239,77.94228792,101.059943,299.2700758,172.2515833
ATP5G2,241.0836445,289.9977879,232.9136842,237.0045442,281.3482461,199.8511282,308.1626267,281.1702956,152.454895,135.3922588,195.314389,172.4807111,326.9907506,189.2585314,288.0488241,223.8423591,188.7519621,181.8502518,209.4443371,187.3874696,243.1180477,147.669439,206.9374961,220.2650291,182.1074733,218.6683997,192.6744598,181.702726,290.5754205,227.250166,274.7424054,258.1377158,465.2831801,428.7209385,293.8600098,189.0311776,186.0595152,223.4749248,176.2789512,182.7441169,280.3569991,168.0344392,135.9329824,127.9676063,124.722741,315.9719763,119.6041995,257.6632357,217.0142162,106.5095652,192.2314085,320.4286391,155.3368349,291.4974222,187.462258,212.2223626,189.7090091,181.2618103,178.4031561,133.0050724,206.1164932,163.6824683,266.2543501,248.874389,182.7115646,224.6973696,183.258013,256.9319596,113.5139993,289.3044437,289.7737677
